variant,depth,corr_matrix_flat,mean_nn_dist,spacing,pareto_front_size,collapse_flag
Base,90,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Base,91,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,92,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,93,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,94,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Base,95,"1.000000|-0.880316|0.000000|0.964181|-0.880316|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699315,1.196412206,10,false
Base,96,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Base,97,"1.000000|-0.880316|0.000000|0.964181|-0.880316|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699315,1.196412206,10,false
Base,98,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Base,99,"1.000000|-0.880316|0.000000|0.964181|-0.880316|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699315,1.196412206,10,false
Base,100,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Delta,1,"1.000000|-0.701693|0.000000|-0.807785|-0.701693|1.000000|0.000000|0.147310|0.000000|0.000000|1.000000|0.000000|-0.807785|0.147310|0.000000|1.000000",2.711251049,5.603827149,6,false
Delta,2,"1.000000|-0.738950|0.000000|-0.596270|-0.738950|1.000000|0.000000|-0.059608|0.000000|0.000000|1.000000|0.000000|-0.596270|-0.059608|0.000000|1.000000",5.145125201,12.872510229,17,false
Delta,3,"1.000000|-0.760830|0.079582|-0.350316|-0.760830|1.000000|-0.427896|-0.220971|0.079582|-0.427896|1.000000|0.048659|-0.350316|-0.220971|0.048659|1.000000",8379.718714294,31984.347552055,17,false
Delta,4,"1.000000|-0.610250|0.120336|-0.647675|-0.610250|1.000000|-0.473195|-0.104125|0.120336|-0.473195|1.000000|0.530670|-0.647675|-0.104125|0.530670|1.000000",10551.926515948,30518.100827183,9,false
Delta,5,"1.000000|-0.346304|-0.231688|-0.522247|-0.346304|1.000000|-0.279863|-0.336921|-0.231688|-0.279863|1.000000|0.356265|-0.522247|-0.336921|0.356265|1.000000",10.439017261,19.356370947,16,false
Delta,6,"1.000000|-0.523471|-0.430136|-0.630793|-0.523471|1.000000|0.001407|-0.241640|-0.430136|0.001407|1.000000|0.409196|-0.630793|-0.241640|0.409196|1.000000",19.318629312,23.850890871,9,false
Delta,7,"1.000000|0.731842|-0.064325|-0.845781|0.731842|1.000000|-0.503701|-0.875323|-0.064325|-0.503701|1.000000|0.300532|-0.845781|-0.875323|0.300532|1.000000",7.808876368,17.249439128,13,false
Delta,8,"1.000000|-0.161905|0.187002|0.269922|-0.161905|1.000000|-0.208711|-0.976082|0.187002|-0.208711|1.000000|0.329417|0.269922|-0.976082|0.329417|1.000000",1348.325426800,3305.115172106,7,false
Delta,9,"1.000000|0.110407|0.030419|-0.000347|0.110407|1.000000|-0.216339|-0.970061|0.030419|-0.216339|1.000000|0.307101|-0.000347|-0.970061|0.307101|1.000000",6464.195653511,19197.447239085,9,false
Delta,10,"1.000000|0.200182|0.080610|-0.029570|0.200182|1.000000|-0.413123|-0.962677|0.080610|-0.413123|1.000000|0.490694|-0.029570|-0.962677|0.490694|1.000000",128.884153527,401.980234487,10,false
Delta,11,"1.000000|-0.248954|0.294417|0.446991|-0.248954|1.000000|-0.355924|-0.927657|0.294417|-0.355924|1.000000|0.308140|0.446991|-0.927657|0.308140|1.000000",11979.179755664,21957.551615684,8,false
Delta,12,"1.000000|-0.014536|0.000000|0.215759|-0.014536|1.000000|0.000000|-0.979480|0.000000|0.000000|1.000000|0.000000|0.215759|-0.979480|0.000000|1.000000",0.000000000,0.000000000,6,true
Delta,13,"1.000000|0.085217|0.179926|0.106546|0.085217|1.000000|-0.463360|-0.943455|0.179926|-0.463360|1.000000|0.423633|0.106546|-0.943455|0.423633|1.000000",4625.787334505,16023.778958835,12,false
Delta,14,"1.000000|0.082889|0.000000|0.197766|0.082889|1.000000|0.000000|-0.926687|0.000000|0.000000|1.000000|0.000000|0.197766|-0.926687|0.000000|1.000000",14.144699223,25.425874708,6,false
Delta,15,"1.000000|0.187026|0.237100|0.259998|0.187026|1.000000|-0.562311|-0.807917|0.237100|-0.562311|1.000000|0.618500|0.259998|-0.807917|0.618500|1.000000",0.723660871,0.562913109,11,false
Delta,16,"1.000000|-0.639487|-0.555396|0.425486|-0.639487|1.000000|-0.214857|-0.553284|-0.555396|-0.214857|1.000000|-0.107317|0.425486|-0.553284|-0.107317|1.000000",2396.484623097,4493.441929045,8,false
Delta,17,"1.000000|0.301220|-0.112683|0.115756|0.301220|1.000000|0.305164|-0.842753|-0.112683|0.305164|1.000000|-0.459702|0.115756|-0.842753|-0.459702|1.000000",7.410325781,11.969431849,8,false
Delta,18,"1.000000|-0.050812|0.000750|0.171093|-0.050812|1.000000|-0.144831|-0.228462|0.000750|-0.144831|1.000000|0.385795|0.171093|-0.228462|0.385795|1.000000",7.210524629,13.728637598,13,false
Delta,19,"1.000000|0.145795|-0.578340|0.303004|0.145795|1.000000|-0.509450|-0.873272|-0.578340|-0.509450|1.000000|0.179654|0.303004|-0.873272|0.179654|1.000000",3.191489942,4.053604844,8,false
Delta,20,"1.000000|-0.048067|0.018596|0.298534|-0.048067|1.000000|-0.126679|-0.184080|0.018596|-0.126679|1.000000|0.430704|0.298534|-0.184080|0.430704|1.000000",9.219290045,15.957819267,11,false
Delta,21,"1.000000|0.064564|0.096519|0.057163|0.064564|1.000000|-0.712976|-0.893608|0.096519|-0.712976|1.000000|0.404354|0.057163|-0.893608|0.404354|1.000000",9.013731425,30.330267970,13,false
Delta,22,"1.000000|-0.258298|0.123710|0.106633|-0.258298|1.000000|-0.189111|-0.301578|0.123710|-0.189111|1.000000|0.484996|0.106633|-0.301578|0.484996|1.000000",7.806846777,18.292336879,18,false
Delta,23,"1.000000|-0.011936|0.170323|0.024307|-0.011936|1.000000|-0.741158|-0.932628|0.170323|-0.741158|1.000000|0.492140|0.024307|-0.932628|0.492140|1.000000",3991.372399359,13016.359065277,11,false
